Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	Class	Seq_count	pattern	clades
tr|A0A0N1BQE1|A0A0N1BQE1_9PROT_HTH_luxR-type_domain-containing_protein_OS=alpha_proteobacterium_AAP38_OX=1523418_GN=IP70_23760_PE=4_SV=1	unreviewed	A0A0N1BQE1_9PROT	HTH luxR-type domain-containing protein	IP70_23760	alpha proteobacterium AAP38	256	unclassified Alphaproteobacteria (no rank), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A0N1BQE1	clade_1
tr|A0A0N1MFS1|A0A0N1MFS1_9HYPH_LuxR_family_transcriptional_regulator_OS=Rhizobium_acidisoli_OX=1538158_GN=AOG23_14000_PE=4_SV=1	unreviewed	A0A0N1MFS1_9HYPH	LuxR family transcriptional regulator	AOG23_14000	Rhizobium acidisoli	251	Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	8	tr|A0A0N1MFS1	clade_4
tr|A0A0N7GZS1|A0A0N7GZS1_PSEFL_HTH_luxR-type_domain-containing_protein_OS=Pseudomonas_fluorescens_OX=294_GN=AO353_08640_PE=4_SV=1	unreviewed	A0A0N7GZS1_PSEFL	HTH luxR-type domain-containing protein	AO353_08640	Pseudomonas fluorescens	242	Pseudomonas fluorescens group (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	2	tr|A0A0N7GZS1	clade_6
tr|A0A0N8KD96|A0A0N8KD96_9RHOB_LuxR_family_transcriptional_regulator_quorum_sensing-dependent_transcriptional_regulator_OS=Rhodobacteraceae_bacterium_HLUCCA12_OX=1666916_GN=bjaR1_PE=4_SV=1	unreviewed	A0A0N8KD96_9RHOB	LuxR family transcriptional regulator, quorum sensing-dependent transcriptional regulator	bjaR1 HLUCCA12_02315	Rhodobacteraceae bacterium HLUCCA12	256	unclassified Paracoccaceae (no rank), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A0N8KD96	clade_1
tr|A0A0P0NYA0|A0A0P0NYA0_9CAUL_HTH_luxR-type_domain-containing_protein_OS=Caulobacter_henricii_OX=69395_GN=AQ619_06540_PE=4_SV=1	unreviewed	A0A0P0NYA0_9CAUL	HTH luxR-type domain-containing protein	AQ619_06540	Caulobacter henricii	254	Caulobacter (genus), Caulobacteraceae (family), Caulobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A0P0NYA0	clade_2
tr|A0A0P1E910|A0A0P1E910_9RHOB_HTH-type_quorum_sensing-dependent_transcriptional_regulator_VjbR_OS=Ruegeria_atlantica_OX=81569_GN=vjbR_2_PE=4_SV=1	unreviewed	A0A0P1E910_9RHOB	HTH-type quorum sensing-dependent transcriptional regulator VjbR	vjbR_2 RUM4293_03783	Ruegeria atlantica	259	Ruegeria (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	8	tr|A0A0P1E910	clade_2
tr|A0A0P1EQ91|A0A0P1EQ91_9RHOB_HTH-type_quorum_sensing-dependent_transcriptional_regulator_VjbR_OS=Shimia_marina_OX=321267_GN=vjbR_PE=4_SV=1	unreviewed	A0A0P1EQ91_9RHOB	HTH-type quorum sensing-dependent transcriptional regulator VjbR	vjbR SHM7688_02069	Shimia marina	254	Shimia (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A0P1EQ91	clade_2
tr|A0A0P1FAX4|A0A0P1FAX4_9RHOB_Transcriptional_activator_protein_LasR_OS=Thalassobius_autumnalis_OX=2072972_GN=lasR_PE=4_SV=1	unreviewed	A0A0P1FAX4_9RHOB	Transcriptional activator protein LasR	lasR TL5120_00257	Thalassobius autumnalis	263	Thalassobius (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	128	tr|A0A0P1FAX4	clade_5
tr|A0A0P1GM60|A0A0P1GM60_9RHOB_HTH_luxR-type_domain-containing_protein_OS=Thalassobius_mediterraneus_OX=340021_GN=TM5383_00462_PE=4_SV=1	unreviewed	A0A0P1GM60_9RHOB	HTH luxR-type domain-containing protein	TM5383_00462	Thalassobius mediterraneus	269	Thalassobius (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	9	tr|A0A0P1GM60	clade_1
tr|A0A0P1GMR6|A0A0P1GMR6_9RHOB_Spore_germination_protein_GerE_OS=Thalassobius_mediterraneus_OX=340021_GN=gerE_PE=4_SV=1	unreviewed	A0A0P1GMR6_9RHOB	Spore germination protein GerE	gerE TM5383_00769	Thalassobius mediterraneus	248	Thalassobius (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A0P1GMR6	clade_2
tr|A0A0P1GYW4|A0A0P1GYW4_9RHOB_HTH-type_quorum_sensing-dependent_transcriptional_regulator_VjbR_OS=Phaeobacter_sp._CECT_5382_OX=1712645_GN=vjbR_2_PE=4_SV=1	unreviewed	A0A0P1GYW4_9RHOB	HTH-type quorum sensing-dependent transcriptional regulator VjbR	vjbR_2 PH5382_01858	Phaeobacter sp. CECT 5382	249	unclassified Phaeobacter (no rank), Phaeobacter (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A0P1GYW4	clade_2
tr|A0A0P9HFK4|A0A0P9HFK4_PSESX_Regulatory_protein_LuxR_OS=Pseudomonas_syringae_pv._atrofaciens_OX=192087_GN=ALO42_100552_PE=4_SV=1	unreviewed	A0A0P9HFK4_PSESX	Regulatory protein LuxR	ALO42_100552	Pseudomonas syringae pv. atrofaciens	263	Pseudomonas syringae (species), Pseudomonas syringae group genomosp. 1 (no rank), Pseudomonas syringae group (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	100	tr|A0A0P9HFK4	clade_6
tr|A0A0Q4P094|A0A0Q4P094_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Devosia_sp._Leaf64_OX=1736229_GN=ASE94_01645_PE=4_SV=1	unreviewed	A0A0Q4P094_9HYPH	HTH luxR-type domain-containing protein	ASE94_01645	Devosia sp. Leaf64	236	unclassified Devosia (no rank), Devosia (genus), Devosiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A0Q4P094	clade_4
tr|A0A0Q4RI52|A0A0Q4RI52_9BURK_HTH_luxR-type_domain-containing_protein_OS=Acidovorax_sp._Leaf78_OX=1736237_GN=ASF16_16225_PE=4_SV=1	unreviewed	A0A0Q4RI52_9BURK	HTH luxR-type domain-containing protein	ASF16_16225	Acidovorax sp. Leaf78	243	unclassified Acidovorax (no rank), Acidovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	3	tr|A0A0Q4RI52	clade_6
tr|A0A0Q4Y6V4|A0A0Q4Y6V4_9BURK_HTH_luxR-type_domain-containing_protein_OS=Pseudorhodoferax_sp._Leaf267_OX=1736316_GN=ASF43_27155_PE=4_SV=1	unreviewed	A0A0Q4Y6V4_9BURK	HTH luxR-type domain-containing protein	ASF43_27155	Pseudorhodoferax sp. Leaf267	250	unclassified Pseudorhodoferax (no rank), Pseudorhodoferax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A0Q4Y6V4	clade_6
tr|A0A0Q5EV60|A0A0Q5EV60_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Rhizobium_sp._Leaf311_OX=1736332_GN=ASF69_19525_PE=4_SV=1	unreviewed	A0A0Q5EV60_9HYPH	HTH luxR-type domain-containing protein	ASF69_19525	Rhizobium sp. Leaf311	255	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A0Q5EV60	clade_3
tr|A0A0Q6GT25|A0A0Q6GT25_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Rhizobium_sp._Leaf453_OX=1736380_GN=ASG68_00585_PE=4_SV=1	unreviewed	A0A0Q6GT25_9HYPH	HTH luxR-type domain-containing protein	ASG68_00585	Rhizobium sp. Leaf453	247	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	5	tr|A0A0Q6GT25	clade_5
tr|A0A0Q6GTQ0|A0A0Q6GTQ0_9HYPH_LuxR_family_transcriptional_regulator_OS=Rhizobium_sp._Leaf453_OX=1736380_GN=ASG68_01535_PE=4_SV=1	unreviewed	A0A0Q6GTQ0_9HYPH	LuxR family transcriptional regulator	ASG68_01535	Rhizobium sp. Leaf453	267	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	391	tr|A0A0Q6GTQ0	clade_1
tr|A0A0Q6P3F1|A0A0Q6P3F1_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Mesorhizobium_sp._Root102_OX=1736422_GN=ASD12_23710_PE=4_SV=1	unreviewed	A0A0Q6P3F1_9HYPH	HTH luxR-type domain-containing protein	ASD12_23710	Mesorhizobium sp. Root102	257	unclassified Mesorhizobium (no rank), Mesorhizobium (genus), Phyllobacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	6	tr|A0A0Q6P3F1	clade_4
tr|A0A0Q6VWR3|A0A0Q6VWR3_9HYPH_Transcriptional_regulator_TraR_OS=Rhizobium_sp._Root1220_OX=1736432_GN=ASC90_21095_PE=4_SV=1	unreviewed	A0A0Q6VWR3_9HYPH	Transcriptional regulator TraR	ASC90_21095	Rhizobium sp. Root1220	234	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A0Q6VWR3	clade_4
tr|A0A0Q6XY66|A0A0Q6XY66_9BURK_HTH_luxR-type_domain-containing_protein_OS=Rhizobacter_sp._Root1221_OX=1736433_GN=ASC87_12440_PE=4_SV=1	unreviewed	A0A0Q6XY66_9BURK	HTH luxR-type domain-containing protein	ASC87_12440	Rhizobacter sp. Root1221	269	unclassified Rhizobacter (no rank), Rhizobacter (genus), Burkholderiales genera incertae sedis (no rank), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	3	tr|A0A0Q6XY66	clade_3
tr|A0A0Q7AAT3|A0A0Q7AAT3_9PSED_HTH_luxR-type_domain-containing_protein_OS=Pseudomonas_sp._Root401_OX=1736526_GN=ASC85_23685_PE=4_SV=1	unreviewed	A0A0Q7AAT3_9PSED	HTH luxR-type domain-containing protein	ASC85_23685	Pseudomonas sp. Root401	245	unclassified Pseudomonas (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	12	tr|A0A0Q7AAT3	clade_6
tr|A0A0Q7X1B3|A0A0Q7X1B3_9BURK_HTH_luxR-type_domain-containing_protein_OS=Duganella_sp._Root1480D1_OX=1736471_GN=ASD58_23475_PE=4_SV=1	unreviewed	A0A0Q7X1B3_9BURK	HTH luxR-type domain-containing protein	ASD58_23475	Duganella sp. Root1480D1	243	unclassified Duganella (no rank), Duganella (genus), Massilia group (no rank), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	2	tr|A0A0Q7X1B3	clade_6
tr|A0A0S2DTI4|A0A0S2DTI4_LYSAN_Bacterial_regulatory_luxR_family_protein_OS=Lysobacter_antibioticus_OX=84531_GN=LA76x_3696_PE=4_SV=1	unreviewed	A0A0S2DTI4_LYSAN	Bacterial regulatory, luxR family protein	LA76x_3696	Lysobacter antibioticus	255	Lysobacter (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	28	tr|A0A0S2DTI4	clade_5
tr|A0A0S3PZS1|A0A0S3PZS1_9BRAD_Transcriptional_activator_protein_LasR_OS=Variibacter_gotjawalensis_OX=1333996_GN=lasR_PE=4_SV=1	unreviewed	A0A0S3PZS1_9BRAD	Transcriptional activator protein LasR	lasR GJW-30_1_04003	Variibacter gotjawalensis	258	Variibacter (genus), Nitrobacteraceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	110	tr|A0A0S3PZS1	clade_5
tr|A0A0S4WKY6|A0A0S4WKY6_RALSL_HTH_luxR-type_domain-containing_protein_OS=Ralstonia_solanacearum_OX=305_GN=MAFF211479_51420_PE=4_SV=1	unreviewed	A0A0S4WKY6_RALSL	HTH luxR-type domain-containing protein	MAFF211479_51420 TO10_v1_970011	Ralstonia solanacearum (Pseudomonas solanacearum)	243	Ralstonia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	5	tr|A0A0S4WKY6	clade_2
tr|A0A0S9LHL0|A0A0S9LHL0_9BURK_HTH_luxR-type_domain-containing_protein_OS=Pseudorhodoferax_sp._Leaf265_OX=1736315_GN=ASF45_32210_PE=4_SV=1	unreviewed	A0A0S9LHL0_9BURK	HTH luxR-type domain-containing protein	ASF45_32210	Pseudorhodoferax sp. Leaf265	237	unclassified Pseudorhodoferax (no rank), Pseudorhodoferax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A0S9LHL0	clade_6
tr|A0A0S9LHN2|A0A0S9LHN2_9BURK_HTH_luxR-type_domain-containing_protein_OS=Pseudorhodoferax_sp._Leaf265_OX=1736315_GN=ASF45_32200_PE=4_SV=1	unreviewed	A0A0S9LHN2_9BURK	HTH luxR-type domain-containing protein	ASF45_32200	Pseudorhodoferax sp. Leaf265	236	unclassified Pseudorhodoferax (no rank), Pseudorhodoferax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A0S9LHN2	clade_6
tr|A0A0T9NGC0|A0A0T9NGC0_YERKR_Regulatory_protein_SdiA_OS=Yersinia_kristensenii_OX=28152_GN=sdiA_PE=4_SV=1	unreviewed	A0A0T9NGC0_YERKR	Regulatory protein SdiA	sdiA ERS008472_00468	Yersinia kristensenii	238	Yersinia (genus), Yersiniaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	2	tr|A0A0T9NGC0	clade_2
tr|A0A0X1T6N0|A0A0X1T6N0_PSEAA_Uncharacterized_protein_OS=Pseudomonas_agarici_OX=46677_GN=AWM79_21780_PE=4_SV=1	unreviewed	A0A0X1T6N0_PSEAA	Uncharacterized protein	AWM79_21780	Pseudomonas agarici	239	Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	2	tr|A0A0X1T6N0	clade_2
tr|A0A108E555|A0A108E555_9BURK_HTH_luxR-type_domain-containing_protein_OS=Burkholderia_territorii_OX=1503055_GN=WT83_30560_PE=4_SV=1	unreviewed	A0A108E555_9BURK	HTH luxR-type domain-containing protein	WT83_30560	Burkholderia territorii	246	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	2	tr|A0A108E555	clade_2
tr|A0A109KR21|A0A109KR21_PSEFL_Transcriptional_activator_protein_EsaR_OS=Pseudomonas_fluorescens_OX=294_GN=esaR_PE=4_SV=1	unreviewed	A0A109KR21_PSEFL	Transcriptional activator protein EsaR	esaR PFL603g_03976	Pseudomonas fluorescens	247	Pseudomonas fluorescens group (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	30	tr|A0A109KR21	clade_6
tr|A0A109LYC3|A0A109LYC3_9SPHN_HTH_luxR-type_domain-containing_protein_OS=Erythrobacter_sp._AP23_OX=499656_GN=ASS64_01625_PE=4_SV=1	unreviewed	A0A109LYC3_9SPHN	HTH luxR-type domain-containing protein	ASS64_01625	Erythrobacter sp. AP23	236	unclassified Erythrobacter (no rank), Erythrobacter (genus), Erythrobacter/Porphyrobacter group (no rank), Erythrobacteraceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	5	tr|A0A109LYC3	clade_3
tr|A0A120GBB5|A0A120GBB5_9SPHN_HTH_luxR-type_domain-containing_protein_OS=Erythrobacter_sp._YT30_OX=1735012_GN=AUC45_04240_PE=4_SV=1	unreviewed	A0A120GBB5_9SPHN	HTH luxR-type domain-containing protein	AUC45_04240	Erythrobacter sp. YT30	244	unclassified Erythrobacter (no rank), Erythrobacter (genus), Erythrobacter/Porphyrobacter group (no rank), Erythrobacteraceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A120GBB5	clade_3
tr|A0A126V0T3|A0A126V0T3_9RHOB_HTH_luxR-type_domain-containing_protein_OS=Falsihalocynthiibacter_arcticus_OX=1579316_GN=RC74_12325_PE=4_SV=1	unreviewed	A0A126V0T3_9RHOB	HTH luxR-type domain-containing protein	RC74_12325	Falsihalocynthiibacter arcticus	237	Falsihalocynthiibacter (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A126V0T3	clade_2
tr|A0A127CFK1|A0A127CFK1_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Martelella_sp._AD-3_OX=686597_GN=AZF01_03975_PE=4_SV=1	unreviewed	A0A127CFK1_9HYPH	HTH luxR-type domain-containing protein	AZF01_03975	Martelella sp. AD-3	253	unclassified Martelella (no rank), Martelella (genus), Aurantimonadaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	5	tr|A0A127CFK1	clade_1
tr|A0A127FD70|A0A127FD70_STEDE_HTH_luxR-type_domain-containing_protein_OS=Steroidobacter_denitrificans_OX=465721_GN=ACG33_10705_PE=4_SV=1	unreviewed	A0A127FD70_STEDE	HTH luxR-type domain-containing protein	ACG33_10705	Steroidobacter denitrificans	248	Steroidobacter (genus), Steroidobacteraceae (family), Nevskiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	1	tr|A0A127FD70	clade_6
tr|A0A127MG24|A0A127MG24_9SPHN_HTH_luxR-type_domain-containing_protein_OS=Sphingorhabdus_sp._M41_OX=1806885_GN=AZE99_10290_PE=4_SV=1	unreviewed	A0A127MG24_9SPHN	HTH luxR-type domain-containing protein	AZE99_10290	Sphingorhabdus sp. M41	243	unclassified Sphingorhabdus (no rank), Sphingorhabdus (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	5	tr|A0A127MG24	clade_3
tr|A0A127SD29|A0A127SD29_9BACT_Autoinducer_binding_domain_protein_OS=uncultured_bacterium_OX=77133_PE=4_SV=1	unreviewed	A0A127SD29_9BACT	Autoinducer binding domain protein		uncultured bacterium	253	environmental samples (no rank), Bacteria (superkingdom), cellular organisms (no rank)		2	tr|A0A127SD29	clade_6
tr|A0A135P6Q5|A0A135P6Q5_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Agrobacterium_bohemicum_OX=2052828_GN=ATO67_21830_PE=4_SV=1	unreviewed	A0A135P6Q5_9HYPH	HTH luxR-type domain-containing protein	ATO67_21830	Agrobacterium bohemicum	244	Agrobacterium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A135P6Q5	clade_4
tr|A0A145ZA93|A0A145ZA93_9ENTR_DNA-binding_transcriptional_activator_SdiA_OS=Enterobacter_hormaechei_OX=158836_GN=sdiA_PE=4_SV=1	unreviewed	A0A145ZA93_9ENTR	DNA-binding transcriptional activator SdiA	sdiA SAMEA2273352_00703	Enterobacter hormaechei	263	Enterobacter cloacae complex (no rank), Enterobacter (genus), Enterobacteriaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	532	tr|A0A145ZA93	clade_6
tr|A0A154C3X2|A0A154C3X2_9GAMM_HTH_luxR-type_domain-containing_protein_OS=Alcanivorax_sp._KX64203_OX=1817793_GN=A3Q32_15400_PE=4_SV=1	unreviewed	A0A154C3X2_9GAMM	HTH luxR-type domain-containing protein	A3Q32_15400	Alcanivorax sp. KX64203	268	unclassified Alcanivorax (no rank), Alcanivorax (genus), Alcanivoracaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	15	tr|A0A154C3X2	clade_3
